E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER,E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (mA cm-2),E ( V vs. RHE),HER (normalized),,,
,1 bar CO,,0.5 bar CO,,0.1  bar CO,,0.01  bar CO,,,,,,,,,380
,,,,,,,,-0.62357,1.48964,-0.61389,6.91649,-0.61389,0.018201289,,,
,,,,,,,,-0.62291,1.48066,-0.61326,6.92044,-0.61326,0.018211684,,,
,,,,,,,,-0.62213,1.476,-0.61218,6.88273,-0.61218,0.018112447,,,
,,,,,,,,-0.62164,1.45883,-0.612,6.86666,-0.612,0.018070158,,,
,,,,,,,,-0.62053,1.45314,-0.61104,6.8592,-0.61104,0.018050526,,,
,,,,,,,,-0.62001,1.44688,-0.61002,6.84197,-0.61002,0.018005184,,,
,,,,,,,,-0.61949,1.42956,-0.60972,6.80763,-0.60972,0.017914816,,,
,,,,,,,,-0.61821,1.42559,-0.60863,6.72639,-0.60863,0.017701026,,,
,,,,,,,,-0.61759,1.42388,-0.60794,6.71046,-0.60794,0.017659105,,,
,,,,,,,,-0.6168,1.41213,-0.60753,6.68236,-0.60753,0.017585158,,,
,,,,,,,,-0.61574,1.40703,-0.60637,6.60942,-0.60637,0.017393211,,,
,,,,,,,,-0.61564,1.39313,-0.60609,6.60344,-0.60609,0.017377474,,,
,,,,,,,,-0.61439,1.38006,-0.6056,6.50632,-0.6056,0.017121895,,,
,,,,,,,,-0.61408,1.36998,-0.60456,6.60436,-0.60456,0.017379895,,,
,,,,,,,,-0.61282,1.37539,-0.60315,6.60854,-0.60315,0.017390895,,,
,,,,,,,,-0.61245,1.35944,-0.6028,6.59325,-0.6028,0.017350658,,,
,,,,,,,,-0.6114,1.35305,-0.60202,6.57395,-0.60202,0.017299868,,,
,,,,,,,,-0.61073,1.34622,-0.60119,6.51907,-0.60119,0.017155447,,,
,,,,,,,,-0.61003,1.33339,-0.60082,6.50219,-0.60082,0.017111026,,,
,,,,,,,,-0.60905,1.33075,-0.59966,6.44712,-0.59966,0.016966105,,,
,,,,,,,,-0.60828,1.32033,-0.5992,6.4289,-0.5992,0.016918158,,,
,,,,,,,,-0.60775,1.30749,-0.59843,6.36481,-0.59843,0.0167495,,,
,,,,,,,,-0.60698,1.2947,-0.59774,6.32347,-0.59774,0.016640711,,,
,,,,,,,,-0.60558,1.30141,-0.59673,6.31568,-0.59673,0.016620211,,,
,,,,,,,,-0.60533,1.28972,-0.59633,6.30005,-0.59633,0.016579079,,,
,,,,,,,,-0.60445,1.27662,-0.5956,6.23871,-0.5956,0.016417658,,,
,,,,,,,,-0.60386,1.26409,-0.59509,6.24981,-0.59509,0.016446868,,,
,,,,,,,,-0.60272,1.2673,-0.59407,6.24388,-0.59407,0.016431263,,,
,,,,,,,,-0.60203,1.26718,-0.59312,6.17568,-0.59312,0.016251789,,,
,,,,,,,,-0.60115,1.24569,-0.59244,6.1972,-0.59244,0.016308421,,,
,,,,,,,,-0.60099,1.23446,-0.59179,6.16563,-0.59179,0.016225342,,,
,,,,,,,,-0.59966,1.23487,-0.59129,6.0988,-0.59129,0.016049474,,,
,,,,,,,,-0.59894,1.22031,-0.59039,6.0719,-0.59039,0.015978684,,,
,,,,,,,,-0.59817,1.21791,-0.58934,6.05925,-0.58934,0.015945395,,,
,,,,,,,,-0.59734,1.21015,-0.58871,6.02964,-0.58871,0.015867474,,,
,,,,,,,,-0.59658,1.20506,-0.588,6.03114,-0.588,0.015871421,,,
,,,,,,,,-0.59561,1.20008,-0.5871,6.01031,-0.5871,0.015816605,,,
,,,,,,,,-0.59505,1.18777,-0.58645,6.01302,-0.58645,0.015823737,,,
,,,,,,,,-0.59409,1.18506,-0.58531,5.97222,-0.58531,0.015716368,,,
,,,,,,,,-0.59324,1.17858,-0.58444,5.93715,-0.58444,0.015624079,,,
,,,,,,,,-0.59249,1.16691,-0.58391,5.92685,-0.58391,0.015596974,,,
,,,,,,,,-0.59193,1.16632,-0.5832,5.9051,-0.5832,0.015539737,,,
,,,,,,,,-0.59055,1.16022,-0.58213,5.88937,-0.58213,0.015498342,,,
,,,,,,,,-0.59025,1.15132,-0.58166,5.86253,-0.58166,0.015427711,,,
,,,,,,,,-0.58921,1.14234,-0.58099,5.83163,-0.58099,0.015346395,,,
,,,,,,,,-0.5886,1.13462,-0.58007,5.81678,-0.58007,0.015307316,,,
,,,,,,,,-0.58768,1.12403,-0.57909,5.74092,-0.57909,0.015107684,,,
,,,,,,,,-0.58676,1.1179,-0.57856,5.73768,-0.57856,0.015099158,,,
,,,,,,,,-0.58618,1.10585,-0.57774,5.68398,-0.57774,0.014957842,,,
,,,,,,,,-0.58544,1.10029,-0.57702,5.60373,-0.57702,0.014746658,,,
,,,,,,,,-0.58438,1.09465,-0.57636,5.59571,-0.57636,0.014725553,,,
,,,,,,,,-0.58353,1.09516,-0.5751,5.64647,-0.5751,0.014859132,,,
,,,,,,,,-0.58285,1.0858,-0.57492,5.56751,-0.57492,0.014651342,,,
,,,,,,,,-0.58226,1.07527,-0.57384,5.55624,-0.57384,0.014621684,,,
,,,,,,,,-0.58134,1.06671,-0.57304,5.60631,-0.57304,0.014753447,,,
,,,,,,,,-0.58047,1.06205,-0.57243,5.55678,-0.57243,0.014623105,,,
,,,,,,,,-0.57965,1.05691,-0.57169,5.52681,-0.57169,0.014544237,,,
,,,,,,,,-0.5788,1.04963,-0.57073,5.48324,-0.57073,0.014429579,,,
,,,,,,,,-0.5778,1.04264,-0.57036,5.4369,-0.57036,0.014307632,,,
,,,,,,,,-0.5774,1.03553,-0.56925,5.39376,-0.56925,0.014194105,,,
,,,,,,,,-0.57643,1.02555,-0.56853,5.36954,-0.56853,0.014130368,,,
,,,,,,,,-0.57577,1.01512,-0.56805,5.36363,-0.56805,0.014114816,,,
,,,,,,,,-0.57481,1.00989,-0.56718,5.38854,-0.56718,0.014180368,,,
,,,,,,,,-0.57392,1.00807,-0.5664,5.35136,-0.5664,0.014082526,,,
,,,,,,,,-0.57308,1.0048,-0.56549,5.3048,-0.56549,0.01396,,,
,,,,,,,,-0.57221,0.9967,-0.56457,5.28615,-0.56457,0.013910921,,,
,,,,,,,,-0.57154,0.99256,-0.56394,5.22327,-0.56394,0.013745447,,,
,,,,,,,,-0.57068,0.98047,-0.56339,5.22637,-0.56339,0.013753605,,,
,,,,,,,,-0.5703,0.97071,-0.56235,5.1912,-0.56235,0.013661053,,,
,,,,,,,,-0.56916,0.96721,-0.56132,5.16412,-0.56132,0.013589789,,,
,,,,,,,,-0.5683,0.9604,-0.56087,5.14903,-0.56087,0.013550079,,,
,,,,,,,,-0.56734,0.95377,-0.5599,5.09571,-0.5599,0.013409763,,,
,,,,,,,,-0.56658,0.94737,-0.55913,5.08759,-0.55913,0.013388395,,,
,,,,,,,,-0.56578,0.93969,-0.55841,5.04476,-0.55841,0.013275684,,,
,,,,,,,,-0.56495,0.9377,-0.55746,4.97436,-0.55746,0.013090421,,,
,,,,,,,,-0.56412,0.92492,-0.55713,4.92898,-0.55713,0.012971,,,
,,,,,,,,-0.56324,0.92485,-0.55632,4.92071,-0.55632,0.012949237,,,
,,,,,,,,-0.56288,0.91369,-0.5554,4.90266,-0.5554,0.012901737,,,
,,,,,,,,-0.56169,0.9073,-0.55445,4.92985,-0.55445,0.012973289,,,
,,,,,,,,-0.561,0.89848,-0.55338,4.90914,-0.55338,0.012918789,,,
