surface_name	site_name	species_name	formation_energy	frequencies	reference
Cu	211	H-CO-ele	0.302471823	[2040.0, 306.9, 268.2, 261.1, 99.7, 68.7]	This work
Cu	211	H-H	0.728969876	[129.1, 218.3, 426.7, 4083.2]	This work
Cu	211	H-ele	0.897912979	[902.6, 1205.4, 1784.9]	This work
Cu	211	H2-ele	0.714484938	[420.6, 445.7, 799.4, 1078.9, 1145.2, 1915.9]	This work
Cu	211	O	1.020343363	[]	This work
Cu	211	OC-CHO	-0.569707	[82.6, 130.0, 152.1, 213.2, 254.4, 289.6, 341.6, 385.8, 495.7, 731.1, 1161.3, 1323.1, 1854.1, 2706.5]	This work
Cu	211	OC-CHOH	-0.281874878	[54.6, 176.8, 215.2, 223.4, 242.2, 271.1, 405.5, 462.1, 708.2, 1009.2, 1207.6, 1235.9, 1454.9, 1918.8, 2962.9, 3073.4]	This work
Cu	211	OC-CO	-1.28681	[61.4, 99.3, 144.3, 228.3, 246.8, 260.2, 275.1, 330.0, 515.6, 1558.5, 1709.3]	This work
Cu	211	OCC	-1.392595	[122.9, 179.3, 218.0, 274.4, 281.1, 535.1, 545.7, 1202.2, 1979.8]	This work
Cu	211	OCC-H	-0.488464	[122.9, 179.3, 218.0, 274.4, 281.1, 535.1, 545.7, 1202.2, 1979.8]	This work
Cu	211	OCC-H-ele	-1.322595	[122.9, 179.3, 218.0, 274.4, 281.1, 535.1, 545.7, 1202.2, 1979.8]	This work
Cu	211	OCC-HO	0.0049609	[96.7, 122.1, 147.2, 180.8, 262.9, 281.4, 323., 518.3, 565.4, 603.1, 828.9, 1431.9, 1513.5, 1541.]	This work
Cu	211	OCC-HO-ele	-0.389288709	[38.6, 159.1, 181.7, 188.7, 214.5, 363.1, 490.3, 570.2, 676.5, 1245.5, 1393.0, 1584.8, 1651.1]	This work
Cu	211	OCCH	-2.324409	[160.9, 187.1, 247.4, 290.9, 332.2, 370.1, 578.9, 744.0, 1016.3, 1074.1, 1416.7, 2923.6]	This work
Cu	211	OCCHO	-1.352938	[124.4,137.9,203.5,222.9,246.7,284.2,364.3,414.6,768.9,826.1,957.2,1303.7,1407.4,1448.2,3000.6]	This work
Cu	211	OCCHOH	-1.542794	[106.6, 123.6, 171.1, 213.4, 271.5, 310.9, 476.6, 621.2, 696.8, 777.8, 973.6, 1103.0, 1262.6, 1421.2, 1595.1, 3097.4, 3195.1]	This work
Cu	211	OCCO	-0.949293555	[161.3,176.3,203.4,260.2,323.5,336.3,358.5,540.2,654.6,808.5,1375.4,1594.3]	This work
Cu	211	OCCO-H-ele	-0.758178113	[193.8, 232.2, 247.3, 320.6, 327.4, 341.4, 370.5, 527.8, 650.3, 830., 1081., 1319.6, 1395.1, 1595.8, 2555.3]	This work
Cu	211	OCCOH	-0.992387	[148.9, 196.4, 213.8, 243.5, 264.2, 316.5, 324.1, 512.9, 681.9, 775.4, 881.0, 1029.9, 1292.6, 1348.3, 3415.8]	This work
Cu	211	OCCOH-H-ele	-0.802387	[148.9, 196.4, 213.8, 243.5, 264.2, 316.5, 324.1, 512.9, 681.9, 775.4, 881.0, 1029.9, 1292.6, 1348.3, 3415.8]	This work
Cu	211	OH	-0.474293499	[35.4, 126.8, 307.9, 511.8, 534.0, 3660.9]	This work
Cu	211	OH2CCH2O	-2.998695002	[63.1, 141., 181., 202.1, 303.2, 392.7, 882.1, 1187.5, 1329.3, 1516.1, 2924.1, 3005.4]	This work
Cu	211	OH2C-CH2O	-1.782695002	[63.1, 141., 181., 202.1, 303.2, 392.7, 882.1, 1187.5, 1329.3, 1516.1, 2924.1, 3005.4]	This work
Cu	211	OCCH2O	-2.09396	[76.6, 189.9, 224.7, 248.6, 297, 344.3, 400.3, 483.2, 501.6, 684.7, 886.6, 1072.5, 1220.3, 1269.8, 1445.1, 1758.2, 2956.7, 3016.5]	This work
Cu	211	OC-CH2O	-1.383533	[76.6, 189.9, 224.7, 248.6, 297, 344.3, 400.3, 483.2, 501.6, 684.7, 886.6, 1072.5, 1220.3, 1269.8, 1445.1, 1758.2, 2956.7, 3016.5]	This work
